Employee_ID,Employee_Name,Department,Role,Date,Status,Check_In,Check_Out,Late,Overtime_Hours,Salary,Work_Location,Productivity_Score,Engagement_Score,Pending_Tasks
E003,Employee_3,IT,Intern,2025-10-06,Absent,,,0,0.0,4232.92,Office,0.63,0.86,6
E018,Employee_18,HR,Manager,2025-02-07,Absent,,,0,0.0,3576.18,Work from Home,0.28,0.71,8
E008,Employee_8,HR,Staff,2025-05-02,Absent,,,0,0.0,2300.08,Work from Home,0.08,0.19,5
E022,Employee_22,Operations,Manager,2025-11-01,Present,09:36:00,18:27:00,0,0.03,1760.91,Work from Home,0.61,0.08,9
E009,Employee_9,HR,Intern,2025-12-02,Present,09:56:00,18:11:00,1,1.78,3179.12,Work from Home,0.34,0.18,0
E005,Employee_5,Finance,Staff,2025-06-25,Present,09:52:00,17:37:00,0,1.49,3103.14,Work from Home,0.82,0.91,4
E025,Employee_25,HR,Team Lead,2025-03-27,Present,10:21:00,17:28:00,0,0.12,4018.21,Office,0.25,0.22,5
E013,Employee_13,HR,Staff,2025-12-02,Present,10:30:00,17:03:00,0,0.22,3482.92,Office,0.67,0.29,1
E006,Employee_6,Sales,Staff,2025-10-01,Present,10:42:00,17:07:00,0,0.12,2457.92,Work from Home,0.58,0.91,7
E036,Employee_36,Operations,Intern,2025-01-20,Present,09:51:00,18:42:00,0,2.86,3168.01,Office,0.71,0.36,5
E043,Employee_43,HR,Manager,2025-06-28,Present,09:19:00,17:53:00,0,1.58,4107.31,Office,0.36,0.41,5
E008,Employee_8,Sales,Staff,2025-07-24,Present,10:39:00,18:50:00,0,0.19,4984.23,Office,0.66,0.89,2
E001,Employee_1,Sales,Intern,2025-01-27,Present,10:56:00,18:36:00,0,1.93,2670.29,Work from Home,0.49,0.64,3
E012,Employee_12,Finance,Intern,2025-01-21,Absent,,,0,0.0,1073.15,Work from Home,0.21,0.4,8
E045,Employee_45,Finance,Staff,2025-03-21,Present,10:00:00,17:42:00,1,2.81,1528.05,Work from Home,0.45,0.84,9
E014,Employee_14,Sales,Intern,2025-01-30,Leave,,,0,0.0,4893.27,Work from Home,0.73,0.1,1
E045,Employee_45,Sales,Manager,2025-05-04,Leave,,,0,0.0,1102.21,Work from Home,0.44,0.47,6
E008,Employee_8,IT,Intern,2025-11-28,Present,09:32:00,17:49:00,0,2.54,2467.28,Office,0.36,0.32,5
E003,Employee_3,IT,Manager,2025-08-12,Present,10:37:00,18:45:00,0,0.11,3960.82,Office,0.65,0.77,3
E007,Employee_7,Sales,Team Lead,2025-09-08,Absent,,,0,0.0,1604.91,Work from Home,0.45,0.47,8
E028,Employee_28,Finance,Team Lead,2025-01-28,Present,09:51:00,17:01:00,0,0.57,4638.24,Office,0.52,0.18,2
E035,Employee_35,HR,Intern,2025-03-08,Present,10:52:00,17:30:00,0,1.09,4624.61,Work from Home,0.16,0.66,4
E042,Employee_42,IT,Manager,2025-09-20,Present,10:50:00,18:42:00,0,0.25,4928.68,Office,0.97,0.45,0
E046,Employee_46,Operations,Staff,2025-06-13,Present,10:03:00,17:34:00,0,1.89,4261.65,Office,0.11,0.49,7
E046,Employee_46,HR,Intern,2025-12-05,Present,10:45:00,17:06:00,0,0.7,2224.91,Work from Home,0.52,0.18,0
E048,Employee_48,IT,Intern,2025-10-24,Present,09:04:00,17:13:00,0,2.86,3226.4,Work from Home,0.25,0.81,0
E018,Employee_18,Operations,Team Lead,2025-11-03,Present,10:07:00,17:39:00,1,2.3,4112.28,Work from Home,0.06,0.15,5
E037,Employee_37,Operations,Manager,2025-08-21,Present,10:19:00,18:03:00,0,0.49,3861.64,Office,0.1,0.44,4
E016,Employee_16,Sales,Staff,2025-01-27,Present,10:28:00,18:28:00,1,0.59,3862.23,Work from Home,0.27,0.73,4
E009,Employee_9,IT,Intern,2025-03-22,Present,10:16:00,17:08:00,0,0.97,3029.49,Office,0.71,0.19,8
E042,Employee_42,IT,Intern,2025-10-03,Present,09:20:00,17:44:00,0,2.78,2901.49,Office,0.4,0.59,7
E016,Employee_16,Finance,Staff,2025-08-25,Present,10:31:00,17:21:00,0,1.71,3230.11,Work from Home,0.5,0.56,9
E050,Employee_50,HR,Intern,2025-08-09,Absent,,,0,0.0,4133.91,Work from Home,0.82,0.13,8
E005,Employee_5,Operations,Team Lead,2025-11-10,Present,09:04:00,17:46:00,0,1.07,4525.71,Work from Home,0.85,0.31,9
E042,Employee_42,HR,Intern,2025-11-09,Absent,,,0,0.0,1925.59,Work from Home,0.41,0.88,9
E018,Employee_18,Sales,Manager,2025-03-11,Present,09:25:00,18:07:00,0,2.93,3907.07,Office,0.57,0.1,2
E035,Employee_35,Finance,Intern,2025-09-03,Present,10:56:00,18:58:00,0,1.18,4331.72,Work from Home,0.64,0.32,5
E015,Employee_15,Operations,Team Lead,2025-06-18,Present,10:28:00,17:00:00,0,0.75,1948.38,Office,0.92,0.87,9
E034,Employee_34,IT,Intern,2025-03-03,Present,09:38:00,18:11:00,0,0.6,4251.27,Work from Home,0.27,0.91,0
E003,Employee_3,Sales,Intern,2025-07-28,Absent,,,0,0.0,4007.63,Office,0.82,0.87,4
E031,Employee_31,Sales,Team Lead,2025-10-28,Present,10:19:00,18:39:00,0,0.29,3992.3,Work from Home,0.81,0.95,2
E022,Employee_22,Operations,Team Lead,2025-12-03,Present,10:28:00,17:26:00,0,0.77,3317.76,Office,0.69,0.68,9
E030,Employee_30,IT,Intern,2025-09-15,Present,09:35:00,18:45:00,0,0.54,1114.33,Office,0.24,0.98,6
E048,Employee_48,HR,Intern,2025-09-26,Present,09:37:00,18:11:00,0,0.6,4866.79,Work from Home,0.78,0.9,0
E046,Employee_46,Finance,Intern,2025-01-12,Present,10:38:00,18:52:00,0,0.28,4116.01,Office,0.89,0.03,5
E034,Employee_34,Operations,Manager,2025-09-09,Present,10:11:00,17:12:00,0,2.44,3827.73,Office,0.04,0.02,6
E019,Employee_19,Operations,Staff,2025-07-27,Present,09:28:00,17:05:00,0,0.98,3500.03,Work from Home,0.94,0.94,9
E008,Employee_8,HR,Manager,2025-07-18,Present,10:00:00,17:49:00,0,0.21,2860.43,Office,0.32,0.59,4
E006,Employee_6,Sales,Manager,2025-12-23,Present,09:58:00,18:51:00,0,2.58,1835.24,Office,0.24,0.46,9
E019,Employee_19,Sales,Manager,2025-07-25,Present,10:50:00,17:32:00,0,1.94,3573.07,Office,0.08,0.12,4
E007,Employee_7,Operations,Intern,2025-04-09,Present,09:08:00,18:05:00,0,2.3,3730.37,Office,0.72,0.41,3
E050,Employee_50,Finance,Intern,2025-04-24,Present,10:41:00,17:02:00,0,1.62,1602.68,Work from Home,0.57,0.99,7
E047,Employee_47,Finance,Manager,2025-08-28,Present,09:10:00,17:36:00,0,2.18,3730.99,Office,0.62,0.53,3
E030,Employee_30,Sales,Manager,2025-05-22,Present,09:52:00,17:16:00,0,2.28,4715.03,Work from Home,0.18,0.4,2
E040,Employee_40,Sales,Staff,2025-08-03,Absent,,,0,0.0,2202.28,Work from Home,0.36,0.18,0
E044,Employee_44,Operations,Manager,2025-10-08,Present,09:56:00,17:00:00,0,2.72,2481.49,Office,0.08,0.41,1
E038,Employee_38,HR,Team Lead,2025-03-29,Present,10:46:00,18:29:00,0,1.93,1156.88,Office,0.41,0.36,9
E017,Employee_17,IT,Manager,2025-11-18,Present,10:09:00,17:38:00,0,0.68,2873.37,Work from Home,0.87,0.01,3
E036,Employee_36,IT,Manager,2025-11-25,Present,10:36:00,17:39:00,0,1.92,4664.16,Office,0.13,0.92,3
E042,Employee_42,Sales,Team Lead,2025-08-04,Present,09:43:00,18:42:00,1,0.25,3993.62,Work from Home,0.91,0.73,8
E034,Employee_34,IT,Intern,2025-06-18,Present,09:26:00,18:14:00,0,1.47,4932.59,Office,0.82,0.4,1
E023,Employee_23,Operations,Intern,2025-06-09,Present,10:53:00,18:03:00,0,2.54,1737.66,Work from Home,0.88,0.52,6
E005,Employee_5,HR,Team Lead,2025-10-27,Present,10:23:00,17:41:00,0,1.57,2266.48,Work from Home,0.84,0.86,0
E030,Employee_30,Operations,Staff,2025-12-26,Present,09:13:00,17:39:00,0,2.42,2150.61,Work from Home,0.61,0.96,0
E035,Employee_35,IT,Intern,2025-03-28,Present,10:09:00,17:47:00,1,0.75,2751.64,Work from Home,0.05,0.79,6
E010,Employee_10,Sales,Staff,2025-01-20,Leave,,,0,0.0,1250.98,Office,0.05,0.32,4
E015,Employee_15,Sales,Staff,2025-01-20,Present,10:16:00,18:57:00,0,1.52,4461.13,Work from Home,0.08,0.58,3
E003,Employee_3,HR,Staff,2025-07-20,Absent,,,0,0.0,3845.49,Work from Home,0.34,0.7,4
E040,Employee_40,Finance,Manager,2025-07-12,Present,09:44:00,17:13:00,0,0.38,2846.09,Work from Home,0.98,0.97,6
E006,Employee_6,Sales,Manager,2025-11-19,Present,10:42:00,17:04:00,0,2.84,2763.02,Office,0.69,0.89,9
E022,Employee_22,Operations,Intern,2025-03-06,Present,10:07:00,18:02:00,0,2.71,2471.94,Office,0.76,0.46,8
E028,Employee_28,Finance,Team Lead,2025-05-09,Absent,,,0,0.0,1384.62,Work from Home,0.28,0.57,4
E009,Employee_9,Operations,Manager,2025-11-09,Present,09:28:00,18:41:00,0,0.75,2907.95,Office,0.36,0.74,3
E039,Employee_39,Operations,Intern,2025-06-14,Present,10:38:00,18:21:00,1,0.83,2649.51,Office,0.61,0.17,5
E003,Employee_3,Sales,Team Lead,2025-07-19,Present,10:24:00,18:06:00,0,1.01,1457.18,Work from Home,0.13,0.76,9
E009,Employee_9,IT,Manager,2025-10-20,Absent,,,0,0.0,2194.57,Work from Home,0.93,0.95,1
E011,Employee_11,Sales,Intern,2025-05-07,Present,10:31:00,18:43:00,0,1.71,1306.87,Work from Home,0.76,0.9,8
E009,Employee_9,Sales,Team Lead,2025-11-20,Present,10:19:00,17:09:00,0,2.77,1523.37,Work from Home,0.98,0.38,0
E030,Employee_30,Operations,Team Lead,2025-10-31,Present,09:44:00,18:00:00,0,1.03,1134.81,Office,0.65,0.91,4
E017,Employee_17,Sales,Manager,2025-12-15,Present,10:11:00,18:26:00,1,2.35,1668.04,Office,0.17,0.72,2
E044,Employee_44,HR,Manager,2025-05-18,Present,09:46:00,18:39:00,0,1.61,3379.33,Office,0.41,0.9,0
E030,Employee_30,HR,Staff,2025-06-23,Present,10:06:00,18:18:00,0,2.77,1502.15,Office,0.28,0.79,9
E048,Employee_48,Sales,Intern,2025-03-08,Leave,,,0,0.0,2847.97,Office,0.7,0.3,4
E023,Employee_23,Finance,Intern,2025-12-20,Present,10:11:00,17:30:00,0,2.64,1528.72,Office,0.48,0.57,1
E014,Employee_14,Sales,Intern,2025-07-18,Present,10:30:00,17:50:00,0,2.97,2080.86,Work from Home,0.08,0.83,5
E027,Employee_27,Operations,Intern,2025-09-09,Present,09:52:00,18:22:00,0,0.44,4224.35,Work from Home,0.89,0.89,2
E022,Employee_22,Finance,Staff,2025-07-01,Absent,,,0,0.0,3854.36,Office,0.14,0.01,4
E014,Employee_14,Finance,Staff,2025-02-25,Present,10:49:00,17:25:00,0,2.65,4464.66,Work from Home,0.03,0.15,4
E035,Employee_35,HR,Team Lead,2025-02-02,Present,09:49:00,18:22:00,0,1.12,2404.26,Office,0.09,0.74,0
E037,Employee_37,HR,Team Lead,2025-12-29,Present,10:40:00,18:20:00,0,2.16,3226.77,Work from Home,0.91,0.45,0
E046,Employee_46,Finance,Manager,2025-11-09,Absent,,,0,0.0,1903.76,Work from Home,0.52,0.32,0
E011,Employee_11,Sales,Manager,2025-01-28,Present,10:43:00,18:39:00,0,0.63,4053.91,Work from Home,0.78,0.9,4
E011,Employee_11,Operations,Staff,2025-06-18,Leave,,,0,0.0,2396.57,Work from Home,0.57,0.83,4
E030,Employee_30,Finance,Staff,2025-07-27,Absent,,,0,0.0,4562.66,Work from Home,0.86,0.79,4
E002,Employee_2,IT,Manager,2025-04-27,Present,09:41:00,18:30:00,0,0.29,1413.19,Work from Home,0.45,0.91,3
E020,Employee_20,Finance,Intern,2025-08-05,Present,10:02:00,17:15:00,0,2.21,4645.49,Work from Home,0.36,0.3,7
E045,Employee_45,IT,Staff,2025-03-31,Present,10:25:00,17:00:00,0,0.76,1912.48,Office,0.44,0.41,0
E039,Employee_39,IT,Manager,2025-02-09,Present,09:45:00,18:34:00,0,1.22,2048.52,Work from Home,0.98,0.58,6
E018,Employee_18,Finance,Staff,2025-02-25,Present,10:48:00,17:05:00,0,1.76,3551.68,Work from Home,0.12,0.23,6
E043,Employee_43,Finance,Team Lead,2025-08-05,Present,10:18:00,18:32:00,0,2.87,2175.11,Office,0.84,0.53,2
E010,Employee_10,Sales,Manager,2025-10-17,Absent,,,0,0.0,3975.38,Office,0.69,0.33,0
E005,Employee_5,Finance,Staff,2025-08-04,Present,10:21:00,17:53:00,0,0.07,1476.34,Work from Home,1.0,0.42,4
E032,Employee_32,HR,Team Lead,2025-02-15,Present,10:01:00,18:13:00,0,2.16,2276.72,Work from Home,0.36,0.03,3
E041,Employee_41,Operations,Team Lead,2025-06-15,Present,09:27:00,17:30:00,1,2.59,1152.94,Work from Home,0.01,0.14,2
E028,Employee_28,IT,Team Lead,2025-07-08,Present,10:48:00,17:44:00,0,0.72,1306.44,Office,0.94,0.63,7
E025,Employee_25,HR,Staff,2025-11-29,Present,10:38:00,17:27:00,0,1.87,4467.34,Office,0.72,0.88,2
E017,Employee_17,Operations,Team Lead,2025-11-25,Present,10:55:00,17:21:00,1,1.88,3427.42,Work from Home,0.4,0.82,2
E033,Employee_33,Finance,Intern,2025-07-24,Absent,,,0,0.0,1884.26,Office,0.02,0.94,5
E009,Employee_9,HR,Intern,2025-01-06,Present,10:15:00,18:26:00,0,0.31,3205.74,Office,0.59,0.96,1
E012,Employee_12,IT,Manager,2025-08-21,Present,09:32:00,17:42:00,0,2.8,1245.92,Office,0.41,0.84,8
E023,Employee_23,IT,Staff,2025-10-01,Present,10:26:00,17:14:00,0,1.71,4052.26,Office,0.5,0.23,0
E012,Employee_12,HR,Staff,2025-02-28,Present,09:25:00,18:00:00,0,1.53,1745.14,Work from Home,0.48,0.63,3
E011,Employee_11,Finance,Intern,2025-04-06,Present,09:25:00,17:17:00,0,0.27,3235.58,Work from Home,0.86,0.37,7
E015,Employee_15,IT,Intern,2025-09-07,Present,09:28:00,18:24:00,0,0.33,2879.3,Work from Home,0.36,0.96,6
E021,Employee_21,IT,Staff,2025-06-06,Present,09:24:00,17:13:00,0,1.79,1568.54,Office,0.84,0.5,1
E017,Employee_17,HR,Staff,2025-07-11,Present,09:34:00,18:21:00,0,0.66,3264.66,Work from Home,0.03,0.58,9
E001,Employee_1,Finance,Team Lead,2025-12-15,Present,10:48:00,17:59:00,0,2.0,1627.48,Office,0.66,0.1,8
E015,Employee_15,Sales,Manager,2025-05-23,Absent,,,0,0.0,2025.17,Office,0.09,0.12,9
E044,Employee_44,Sales,Staff,2025-11-04,Present,09:14:00,18:38:00,0,1.53,1952.13,Office,0.42,0.1,1
E006,Employee_6,Sales,Staff,2025-07-26,Present,09:27:00,17:34:00,0,2.31,1387.97,Office,0.69,0.17,8
E031,Employee_31,Finance,Staff,2025-02-11,Present,09:48:00,17:05:00,0,2.65,2717.22,Office,0.96,0.32,5
E012,Employee_12,Operations,Team Lead,2025-08-19,Present,10:17:00,18:23:00,0,2.25,4529.42,Office,0.73,0.99,6
E037,Employee_37,HR,Staff,2025-01-17,Present,09:22:00,17:32:00,0,2.6,1116.23,Work from Home,0.68,0.64,2
E007,Employee_7,Finance,Intern,2025-08-14,Present,09:22:00,17:03:00,0,0.96,4307.84,Office,0.63,0.02,3
E043,Employee_43,IT,Team Lead,2025-03-31,Present,10:23:00,17:18:00,1,2.94,2744.95,Work from Home,0.08,0.14,1
E037,Employee_37,IT,Manager,2025-10-14,Present,10:10:00,18:38:00,0,2.9,2622.2,Office,0.75,0.71,4
E019,Employee_19,IT,Intern,2025-06-24,Present,09:40:00,17:47:00,0,2.91,1404.85,Work from Home,0.25,0.61,3
E014,Employee_14,Finance,Team Lead,2025-02-27,Present,09:05:00,17:52:00,0,2.49,4151.21,Office,0.68,0.27,5
E030,Employee_30,Sales,Manager,2025-06-18,Present,10:10:00,17:20:00,0,0.09,2957.77,Work from Home,0.15,0.83,2
E023,Employee_23,Finance,Manager,2025-10-13,Present,09:11:00,17:07:00,0,2.79,2705.6,Work from Home,0.75,0.46,9
E002,Employee_2,Operations,Intern,2025-07-12,Leave,,,0,0.0,2731.57,Office,0.27,0.0,3
E011,Employee_11,HR,Manager,2025-02-24,Present,09:16:00,17:20:00,0,1.78,4364.38,Work from Home,0.46,0.73,7
E017,Employee_17,HR,Manager,2025-03-16,Present,09:44:00,18:24:00,0,1.29,4255.67,Office,0.08,0.37,1
E018,Employee_18,HR,Team Lead,2025-12-08,Present,09:17:00,17:56:00,0,0.18,4228.24,Office,0.14,0.15,2
E016,Employee_16,Sales,Intern,2025-11-21,Present,10:50:00,17:31:00,0,0.05,4840.29,Work from Home,0.74,0.77,7
E044,Employee_44,Operations,Team Lead,2025-02-06,Absent,,,0,0.0,2153.09,Office,0.72,0.88,2
E047,Employee_47,IT,Team Lead,2025-04-04,Present,10:07:00,18:35:00,0,2.13,4216.36,Office,0.31,0.32,3
E014,Employee_14,Finance,Intern,2025-02-28,Present,09:28:00,17:49:00,0,2.32,3134.71,Office,0.98,0.78,6
E033,Employee_33,Operations,Team Lead,2025-05-05,Present,10:37:00,18:30:00,0,0.07,4043.59,Work from Home,0.08,0.32,6
E011,Employee_11,HR,Manager,2025-08-09,Present,10:02:00,17:55:00,0,2.58,3817.3,Work from Home,0.27,0.49,6
E006,Employee_6,IT,Staff,2025-09-19,Present,09:57:00,17:54:00,0,0.01,3725.83,Work from Home,0.25,0.52,5
E006,Employee_6,IT,Intern,2025-12-02,Absent,,,0,0.0,4329.98,Office,0.05,0.25,3
E045,Employee_45,Sales,Team Lead,2025-07-11,Present,09:21:00,18:11:00,0,2.78,2897.13,Work from Home,0.37,0.48,3
E043,Employee_43,HR,Manager,2025-11-24,Leave,,,0,0.0,3229.3,Work from Home,0.13,0.01,4
E014,Employee_14,Sales,Team Lead,2025-03-11,Present,09:35:00,17:26:00,0,1.42,2099.86,Office,0.63,0.63,9
E025,Employee_25,Operations,Staff,2025-05-10,Present,10:00:00,18:55:00,0,1.82,1695.28,Work from Home,0.2,0.81,3
E044,Employee_44,Operations,Intern,2025-09-17,Present,09:37:00,18:54:00,0,1.74,4703.47,Work from Home,0.0,0.47,3
E020,Employee_20,IT,Staff,2025-07-12,Present,10:03:00,17:25:00,0,2.78,4502.5,Office,0.36,0.17,3
E036,Employee_36,Sales,Staff,2025-12-13,Present,09:18:00,18:06:00,0,0.15,3455.94,Office,0.38,0.63,9
E033,Employee_33,Finance,Team Lead,2025-07-18,Present,09:26:00,18:05:00,0,2.97,2633.2,Work from Home,0.3,0.78,9
E010,Employee_10,HR,Manager,2025-08-02,Present,09:49:00,17:58:00,0,2.4,3358.66,Work from Home,0.58,0.1,7
E037,Employee_37,Sales,Intern,2025-06-24,Absent,,,0,0.0,1253.96,Office,0.5,0.91,3
E048,Employee_48,Finance,Manager,2025-06-09,Present,09:57:00,18:16:00,0,1.59,2437.31,Office,0.15,0.14,9
E017,Employee_17,HR,Team Lead,2025-03-31,Present,09:45:00,18:39:00,0,0.93,1075.87,Work from Home,0.04,0.04,6
E018,Employee_18,Finance,Team Lead,2025-01-29,Present,09:19:00,18:28:00,0,2.81,3160.4,Office,0.07,0.46,5
E040,Employee_40,HR,Staff,2025-05-13,Absent,,,0,0.0,3778.22,Office,0.09,0.29,6
E022,Employee_22,HR,Manager,2025-12-07,Present,09:23:00,17:11:00,0,1.94,4340.88,Work from Home,0.28,0.48,9
E036,Employee_36,Operations,Team Lead,2025-09-30,Absent,,,0,0.0,4973.91,Work from Home,0.57,0.57,2
E023,Employee_23,IT,Team Lead,2025-12-01,Present,10:14:00,17:12:00,0,0.03,4435.32,Office,0.87,0.55,6
E047,Employee_47,HR,Intern,2025-12-03,Present,10:35:00,17:52:00,0,1.91,3065.41,Work from Home,0.13,0.91,2
E039,Employee_39,Sales,Team Lead,2025-06-16,Present,09:42:00,18:22:00,0,1.23,1696.31,Work from Home,0.07,0.47,7
E047,Employee_47,IT,Team Lead,2025-08-05,Present,09:43:00,18:43:00,0,1.82,3134.8,Office,0.45,0.17,1
E014,Employee_14,Sales,Manager,2025-03-31,Present,09:36:00,17:30:00,0,1.43,1483.37,Work from Home,0.26,0.45,3
E041,Employee_41,Operations,Intern,2025-02-16,Present,09:33:00,17:28:00,0,1.34,2578.6,Work from Home,0.47,0.35,6
E006,Employee_6,IT,Staff,2025-12-07,Present,10:43:00,17:38:00,0,0.1,1479.47,Office,0.71,0.44,2
E045,Employee_45,HR,Manager,2025-03-14,Present,10:53:00,17:39:00,0,0.62,1465.88,Work from Home,0.92,0.61,7
E046,Employee_46,IT,Staff,2025-04-13,Present,10:20:00,18:43:00,0,1.44,4730.63,Office,0.45,0.4,1
E020,Employee_20,IT,Staff,2025-02-23,Present,10:48:00,17:46:00,0,2.97,4514.82,Office,0.96,0.07,0
E040,Employee_40,IT,Intern,2025-07-20,Present,10:01:00,18:36:00,0,2.4,3544.97,Office,0.02,0.81,9
E031,Employee_31,Finance,Intern,2025-01-26,Absent,,,0,0.0,1588.67,Work from Home,0.73,0.79,6
E012,Employee_12,Finance,Staff,2025-06-22,Leave,,,0,0.0,1659.68,Work from Home,0.91,0.13,7
E008,Employee_8,IT,Staff,2025-12-03,Present,10:46:00,18:31:00,0,2.56,2443.34,Work from Home,0.69,0.29,7
E032,Employee_32,IT,Staff,2025-08-08,Present,10:25:00,18:04:00,0,1.02,1061.36,Work from Home,0.1,0.11,7
E019,Employee_19,IT,Intern,2025-12-30,Present,10:21:00,17:39:00,0,1.07,1802.92,Office,0.02,0.99,3
E021,Employee_21,Finance,Staff,2025-03-01,Present,10:37:00,18:44:00,0,1.18,4091.79,Office,0.61,0.6,6
E042,Employee_42,Operations,Staff,2025-01-11,Present,10:01:00,18:30:00,0,2.4,4470.72,Office,0.16,0.11,1
E032,Employee_32,Operations,Intern,2025-12-01,Absent,,,0,0.0,1722.84,Work from Home,0.95,0.72,9
E037,Employee_37,IT,Staff,2025-09-27,Absent,,,0,0.0,3145.94,Work from Home,0.22,0.35,3
E043,Employee_43,HR,Team Lead,2025-01-09,Present,10:39:00,18:17:00,0,2.81,2245.88,Work from Home,0.73,0.22,2
E023,Employee_23,Sales,Intern,2025-09-23,Absent,,,0,0.0,4402.48,Work from Home,0.26,0.91,9
E016,Employee_16,HR,Team Lead,2025-12-27,Present,09:00:00,18:40:00,1,2.49,3439.59,Work from Home,0.18,0.86,0
E008,Employee_8,Operations,Manager,2025-04-17,Present,09:57:00,18:33:00,0,0.65,2381.42,Work from Home,0.13,0.95,8
E023,Employee_23,Sales,Team Lead,2025-04-01,Present,10:57:00,17:28:00,0,0.93,3924.62,Office,0.97,0.44,1
E042,Employee_42,Finance,Intern,2025-01-17,Present,09:30:00,17:11:00,0,2.84,4612.37,Work from Home,0.53,0.8,9
E043,Employee_43,HR,Manager,2025-05-26,Present,09:29:00,17:14:00,0,0.36,2590.76,Work from Home,0.68,0.65,5
E050,Employee_50,Operations,Team Lead,2025-03-01,Absent,,,0,0.0,4971.19,Office,0.38,0.17,4
E003,Employee_3,IT,Intern,2025-07-06,Present,10:56:00,18:08:00,0,0.42,3798.32,Office,0.6,0.17,8
E014,Employee_14,HR,Team Lead,2025-01-19,Present,09:25:00,18:49:00,0,0.39,4353.65,Work from Home,0.71,0.32,9
E003,Employee_3,IT,Manager,2025-04-14,Present,09:55:00,18:27:00,0,2.33,3600.39,Work from Home,0.57,0.83,4
E004,Employee_4,Operations,Staff,2025-11-18,Present,09:15:00,18:46:00,0,1.18,1705.95,Office,0.67,0.38,3
E015,Employee_15,IT,Team Lead,2025-12-01,Present,09:12:00,17:43:00,0,2.9,3685.04,Office,0.59,0.18,6
E030,Employee_30,Operations,Intern,2025-09-14,Present,09:33:00,17:40:00,1,2.5,4476.92,Work from Home,0.71,0.36,9
E026,Employee_26,IT,Intern,2025-09-01,Present,09:43:00,18:03:00,0,0.17,3026.48,Work from Home,0.77,0.81,0
E021,Employee_21,Finance,Manager,2025-03-24,Present,10:01:00,17:42:00,0,1.55,4282.5,Office,0.56,0.13,1
